pitchtype,tilt,name,pitch_id,velo,spin_rate,extension,vertical_movement,horizontal_movement,vaa,vertical_location,horizontal_location,pitcher_hand
Fastball,11:30,HDJ,10/25/23 14:50,89.7,2312,5.6,16.7,-5.3,-5.79,2.54,-0.12,L
Fastball,11:30,HDJ,11/10/23 12:53,87.5,2229,5.3,18.6,-5.7,-5.87,2.41,-0.9,L
Fastball,11:30,HDJ,11/17/23 12:25,90.5,2049,5,17.6,-5.3,-4.43,3.42,0.33,L
Fastball,11:30,HDJ,10/25/23 14:47,90.5,2279,5.5,18.4,-4.4,-4.93,3.09,-0.92,L
Fastball,11:30,HDJ,10/25/23 14:47,90.2,2426,5.3,18.2,-4,-4.41,3.67,-0.15,L
Fastball,11:30,HDJ,11/10/23 12:56,89.7,2175,5.2,18.8,-3.9,-5.64,2.46,-0.6,L
Fastball,11:45,HDJ,11/10/23 12:56,87.8,2193,5.4,18.8,-3.3,-6.1,2.19,-2.55,L
Fastball,11:45,HDJ,10/25/23 14:52,89.7,2379,5.5,17.1,-2.8,-7.05,1.29,0.87,L
Fastball,11:45,HDJ,11/10/23 13:03,87.3,2188,5.6,19.5,-3,-5.95,2.41,-1.12,L
Fastball,11:45,HDJ,11/10/23 12:54,88.1,2151,5.5,16.8,-2.2,-6.1,2.32,-0.91,L
Fastball,11:00,HDJ,10/25/23 14:48,719.2,17539,43.4,,,-14.56,10.98,-1.55,L
Undefined,9:00,HDJ,10/25/23 14:48,84.5,2038,5.4,-0.4,-13.3,-8.62,1.3,-0.8,L
Undefined,10:00,HDJ,10/25/23 14:50,85.9,1981,5.6,9.9,-15,-7.74,1.25,-1.78,L
Undefined,,HDJ,10/25/23 14:46,89,2467,5.4,,,-4.83,3.31,0.21,L
